# Title: Measuring the Rotation Period Distribution of Field M-dwarfs with Kepler
# Authors: A. McQuillan, S. Aigrain and T. Mazeh
#
# Table 2. M-dwarfs with detected rotation periods.
#
KID,Teff,logg,Mass,Period,Period_Err,Amplitude,Flag
3231403,3750,4.39,0.4463,34.359,0.297,6.6,NF
3232393,3963,4.53,0.5288,14.477,0.020,3.5,NF
3233853,3923,4.46,0.5131,29.465,0.569,5.2,NF
3235567,3700,4.65,0.4274,28.730,0.121,4.3,NF
3244968,3998,4.41,0.5426,18.584,0.029,7.2,NF
3246721,3901,4.43,0.5045,30.385,0.350,4.3,NF
3323808,3536,4.14,0.3672,31.928,0.262,4.6,HM
3327092,3713,4.52,0.4323,35.800,1.268,5.8,NF
3328254,3676,4.62,0.4184,32.132,0.429,4.91,NF
3344220,3907,4.48,0.5068,15.325,0.076,2.8,NF
3344747,3876,4.45,0.4947,28.587,0.061,9.4,NF
3425850,3887,4.65,0.4990,17.379,0.097,6.0,NF
3426367,3546,4.12,0.3708,33.951,0.849,6.9,PL
3426874,3886,4.51,0.4986,33.736,0.114,10.4,NF
3438817,3825,4.49,0.4750,37.659,17.038,4.3,NF
3442034,3724,4.51,0.4365,41.766,16.376,11.4,NF
3443137,3673,4.52,0.4173,36.740,15.666,5.8,NF
3444822,3678,4.47,0.4192,30.099,0.254,16.3,NF
3449953,3683,4.35,0.4211,40.561,18.088,16.0,NF
3454793,3641,4.35,0.4054,1.941,0.010,44.3,PB
3456560,3662,4.29,0.4132,30.364,0.136,5.4,NF
3457337,3921,4.54,0.5123,18.697,0.109,4.5,NF
3527308,3830,4.61,0.4769,29.159,0.121,9.4,NF
3528588,3809,4.50,0.4688,15.979,0.021,6.0,NF
3531176,3682,4.52,0.4207,22.354,0.217,7.1,NF
3532922,3615,4.24,0.3959,38.027,19.974,6.3,NF
3533437,3831,4.40,0.4773,30.691,0.332,13.8,NF
3539770,3839,4.26,0.4804,32.346,0.044,10.8,NF
3550668,3678,4.30,0.4192,46.813,18.882,16.8,NF
3554849,3823,4.46,0.4742,32.255,0.105,12.3,NF
3556011,3724,4.43,0.4365,23.601,0.501,5.4,NF
3558213,3740,4.44,0.4425,28.689,0.500,3.3,NF
3558789,3757,4.45,0.4490,33.103,1.093,6.8,NF
3626713,3963,4.55,0.5288,23.795,0.271,3.6,NF
3634308,3865,4.40,0.4904,12.924,0.111,15.1,NF
3634402,3553,4.16,0.3733,47.774,13.819,6.2,NF
3643000,3886,4.45,0.4986,18.605,0.023,4.9,NF
3648376,3657,4.25,0.4114,40.009,18.493,4.8,NF
3658853,3969,4.39,0.5311,11.044,0.020,18.4,NF
3659811,3711,4.48,0.4316,17.348,0.034,8.6,NF
3730371,3658,4.59,0.4117,43.013,14.896,7.22,NF
3733753,3821,4.58,0.4734,15.959,0.225,6.7,NF
3745742,3257,4.63,0.2720,18.676,0.069,5.0,NF
3748918,3822,4.68,0.4738,27.585,0.091,8.6,NF
3756034,3747,4.70,0.4452,40.397,19.091,5.3,NF
3757251,3815,4.64,0.4711,15.509,0.043,10.5,NF
3758197,3884,4.57,0.4978,22.426,0.156,5.0,NF
3760677,3820,4.60,0.4731,36.658,0.280,12.9,NF
3762903,3617,4.43,0.3966,43.830,15.448,7.7,NF
3763058,3928,4.61,0.5150,6.488,0.005,25.2,NF
3765134,3563,4.64,0.3769,43.156,19.930,8.6,NF
3830820,3902,4.40,0.5048,38.252,9.549,4.6,EB
3831534,3637,4.26,0.4040,37.036,0.044,7.6,NF
3831911,3953,4.41,0.5248,1.839,0.000,48.3,PB
3835071,3970,4.60,0.5315,38.068,9.837,5.85,NF
3836257,3942,4.65,0.5205,39.457,20.179,25.0,NF
3837507,3808,4.50,0.4684,29.322,0.030,5.7,NF
3838294,3678,4.45,0.4192,34.063,0.175,4.7,NF
3866232,3938,4.66,0.5189,16.735,0.289,4.2,NF
3934090,3905,4.21,0.5060,5.844,0.010,8.4,NF
3935499,3942,4.38,0.5205,5.211,0.000,46.2,NF
3935942,3695,4.51,0.4256,39.457,9.531,7.29,NF
3938241,3867,4.51,0.4912,16.766,0.052,7.9,NF
3940072,3523,4.14,0.3625,56.060,17.121,5.8,NF
3940372,3605,4.21,0.3922,19.330,0.049,22.3,NF
3941415,3893,4.40,0.5013,26.911,0.152,9.8,NF
3946894,3817,4.53,0.4719,39.784,9.692,9.0,NF
3955879,3839,4.62,0.4804,32.919,1.439,4.91,NF
3955891,3670,4.56,0.4162,33.695,0.271,8.5,NF
3957292,3851,4.56,0.4850,31.590,2.642,6.4,NF
3966704,3924,4.63,0.5135,31.437,0.114,7.1,NF
3969563,3913,4.58,0.5091,24.449,0.210,6.2,NF
3974567,4000,4.47,0.5434,26.073,0.303,12.0,NF
4036313,3691,4.38,0.4241,38.681,13.809,6.5,NF
4038439,3672,4.65,0.4170,28.546,0.424,7.7,NF
4043389,3713,4.38,0.4323,38.906,16.774,22.7,NF
4044678,3823,4.61,0.4742,26.625,12.369,8.1,NF
4049158,3881,4.67,0.4967,42.768,13.084,12.5,NF
4060965,3572,4.34,0.3802,38.722,16.138,4.6,NF
4068018,3931,4.69,0.5162,39.171,10.978,3.1,NF
4068727,3820,4.50,0.4731,31.856,0.236,14.1,NF
4078087,3946,4.51,0.5221,29.057,0.954,4.2,NF
4078175,3910,4.28,0.5080,22.201,0.176,5.0,NF
4139476,3915,4.51,0.5099,20.413,0.049,12.2,NF
4142890,3519,4.09,0.3611,18.962,0.049,20.9,NF
4142913,0,-inf,0.0000,38.804,14.600,9.1,NF
4148125,3919,4.50,0.5115,18.104,0.143,5.9,NF
4159885,3904,4.58,0.5056,33.143,0.367,4.23,NF
4164310,3690,4.39,0.4237,31.315,0.359,8.2,NF
4173626,3928,4.44,0.5150,25.522,0.182,11.7,NF
4175398,3853,4.34,0.4858,30.906,0.087,7.3,NF
4175707,3825,4.33,0.4750,0.409,0.005,37.3,PB
4179525,3827,4.43,0.4758,20.515,0.136,9.8,NF
4181240,3707,4.42,0.4301,31.131,0.481,4.7,NF
4181245,3653,4.58,0.4099,19.882,0.012,9.1,NF
4242514,3709,4.56,0.4308,31.785,0.157,7.7,NF
4242943,3925,4.43,0.5138,29.159,0.219,8.7,NF
4253385,3897,4.69,0.5029,36.740,0.280,6.5,NF
4254223,3957,4.62,0.5264,31.560,0.166,11.4,NF
4255219,3921,4.55,0.5123,18.482,0.023,6.5,NF
4265815,3686,4.49,0.4222,41.031,13.149,13.9,NF
4271485,3981,4.48,0.5359,31.212,0.122,6.2,NF
4275230,4000,4.48,0.5434,24.684,0.061,11.3,NF
4275254,3949,4.54,0.5233,15.223,0.032,16.3,NF
4275681,3734,4.49,0.4402,25.133,0.576,4.9,NF
4279048,3949,4.49,0.5233,35.452,0.297,5.1,NF
4280515,3982,4.44,0.5363,27.258,0.318,9.4,NF
4280967,3902,4.51,0.5048,28.689,0.227,11.7,NF
4281425,3902,4.60,0.5048,15.877,0.129,5.8,NF
4283417,3993,4.52,0.5406,13.874,0.131,7.8,NF
4349469,3678,4.55,0.4192,29.261,0.258,7.8,NF
4349785,3832,4.52,0.4777,25.501,0.106,3.9,NF
4355120,3679,4.44,0.4196,42.298,17.639,6.1,NF
4355503,3658,4.70,0.4117,5.456,0.005,29.7,NF
4356597,3952,4.47,0.5244,26.359,0.333,8.9,NF
4357520,3814,4.70,0.4707,16.470,0.043,14.0,NF
4367215,3972,4.58,0.5323,25.869,0.121,4.3,NF
4370853,3935,4.57,0.5178,33.920,0.052,4.9,NF
4370970,3649,4.25,0.4084,36.454,0.254,4.2,NF
4378621,3712,4.69,0.4319,17.696,0.029,11.9,NF
4381324,3674,4.54,0.4177,19.044,0.210,4.4,NF
4381741,3886,4.30,0.4986,35.187,9.386,5.6,NF
4383248,3846,4.59,0.4831,22.252,0.068,12.9,NF
4386137,3686,4.61,0.4222,39.662,7.754,6.8,NF
4386313,3927,4.57,0.5146,16.858,0.021,8.8,NF
4387448,3920,4.63,0.5119,20.250,0.346,4.4,NF
4443489,3973,4.36,0.5327,14.191,0.177,4.8,NF
4458155,3676,4.54,0.4184,16.694,0.032,13.2,NF
4470937,0,-inf,0.0000,67.441,19.561,1.0,NF
4471741,3969,4.91,0.5311,40.254,10.418,4.7,NF
4471819,3968,4.62,0.5307,15.060,0.015,8.3,NF
4474292,3949,4.66,0.5233,17.174,0.023,4.9,NF
4482203,3837,4.59,0.4796,19.371,0.495,5.07,NF
4483841,3666,4.36,0.4147,34.104,0.219,15.0,NF
4489051,3713,4.54,0.4323,33.675,0.184,11.4,NF
4489414,3723,4.41,0.4361,35.963,0.087,5.3,HM
4540508,3860,4.51,0.4885,21.813,0.041,7.3,NF
4543237,3932,4.76,0.5166,40.561,10.467,2.75,NF
4546642,3982,4.57,0.5363,17.553,0.092,4.9,NF
4551429,3684,4.35,0.4214,35.238,0.227,5.8,NF
4554367,3984,4.36,0.5371,16.429,0.043,8.5,NF
4562228,3960,4.34,0.5276,19.330,0.012,8.6,NF
4569115,3812,4.63,0.4700,18.758,0.136,5.9,NF
4571091,3599,4.65,0.3900,19.463,0.569,3.4,NF
4581344,3968,4.53,0.5307,18.717,0.069,7.4,NF
4633585,3892,4.53,0.5009,35.902,12.265,4.23,NF
4639615,3868,4.56,0.4916,27.749,0.394,5.0,NF
4641097,3696,4.41,0.4259,28.035,0.606,8.5,NF
4645733,3858,4.62,0.4877,15.754,0.021,16.5,NF
4647381,3999,4.55,0.5430,30.313,0.315,4.8,NF
4648234,3827,4.74,0.4758,15.857,0.075,4.3,NF
4651273,3997,4.61,0.5422,16.745,0.092,11.3,NF
4655612,3934,4.75,0.5174,41.562,10.943,5.57,NF
4660255,3997,4.58,0.5422,1.206,0.000,44.8,PB
4662431,3656,4.60,0.4110,14.528,0.051,38.2,NF
4669176,3680,4.55,0.4199,37.271,10.658,6.2,NF
4669977,3661,4.31,0.4129,22.457,0.088,10.6,NF
4672900,3679,4.42,0.4196,39.539,18.362,5.5,NF
4725531,3937,4.57,0.5186,26.196,0.182,5.4,NF
4725681,3905,4.59,0.5060,15.407,0.021,28.1,PL
4726192,3908,4.51,0.5072,13.721,0.040,34.0,NF
4729962,3803,4.50,0.4665,23.243,0.115,7.4,NF
4731525,3555,4.15,0.3740,44.750,17.858,8.7,NF
4735754,3751,4.56,0.4467,20.515,0.049,7.6,NF
4736554,3972,4.57,0.5323,30.150,0.114,18.4,NF
4739885,3970,4.62,0.5315,32.857,0.271,17.9,NF
4741455,3898,4.45,0.5033,5.027,0.000,42.1,NF
4743351,3944,4.55,0.5213,13.609,0.010,12.8,NF
4751044,3899,4.67,0.5037,18.748,0.052,9.4,NF
4754115,3949,4.62,0.5233,28.198,9.937,10.2,NF
4758595,3519,4.41,0.3611,19.678,0.210,9.0,NF
4758926,3900,4.63,0.5041,19.637,0.037,3.8,NF
4758956,3706,4.41,0.4297,41.358,19.250,5.6,NF
4761031,3935,4.63,0.5178,25.828,0.197,5.1,NF
4764652,3676,4.39,0.4184,31.723,0.402,5.5,NF
4768453,3933,4.58,0.5170,20.495,0.049,10.2,NF
4770707,3682,4.36,0.4207,43.605,17.018,10.4,NF
4773065,3859,4.56,0.4881,36.586,0.289,6.9,NF
4818821,3980,4.60,0.5355,34.094,1.216,4.1,NF
4824868,3983,4.47,0.5367,22.273,0.149,9.2,NF
4827161,3673,4.17,0.4173,20.863,0.025,22.7,NF
4831331,3665,4.51,0.4143,20.883,0.025,7.1,NF
4833367,3943,4.51,0.5209,14.201,0.035,6.2,NF
4844987,3716,4.24,0.4334,22.549,0.305,4.9,NF
4850610,3874,4.41,0.4939,18.482,0.034,5.8,NF
4902806,3676,4.36,0.4184,36.658,18.923,8.3,NF
4904647,3512,4.03,0.3586,40.683,19.777,7.6,NF
4908089,3897,4.46,0.5029,24.990,0.657,3.2,NF
4913852,3785,4.36,0.4596,34.829,0.079,15.4,PL
4918333,3718,4.57,0.4342,19.759,0.025,7.9,NF
4921143,3507,4.02,0.3568,42.032,10.634,4.2,NF
4929016,3973,4.49,0.5327,11.954,0.030,43.5,NF
4931385,4000,4.42,0.5434,17.900,5.127,32.7,NF
4946028,3999,4.42,0.5430,38.579,9.652,3.1,NF
4951915,3865,4.61,0.4904,22.017,0.529,3.4,NF
4953358,3843,4.61,0.4819,0.654,0.000,37.9,PB
4991026,3801,4.48,0.4658,29.465,0.332,6.5,NF
4991533,3987,4.56,0.5382,18.186,0.086,5.8,NF
4994641,3905,4.61,0.5060,22.753,0.289,4.0,NF
4995581,3682,4.44,0.4207,42.502,12.299,7.8,NF
5005406,3802,4.38,0.4661,31.458,0.131,14.5,NF
5015405,3897,4.51,0.5029,31.304,0.166,11.4,NF
5016904,3660,4.38,0.4125,24.153,0.318,12.3,NF
5027715,3668,4.35,0.4155,42.400,16.991,6.9,NF
5041192,3693,4.55,0.4248,10.789,0.010,18.8,NF
5077889,3735,4.45,0.4406,48.234,22.319,7.0,NF
5080636,3673,4.51,0.4173,35.248,0.464,12.1,PL
5083480,3912,4.85,0.5088,39.457,18.699,12.7,NF
5087108,3861,4.33,0.4889,28.015,0.758,3.2,NF
5087223,3999,4.50,0.5430,32.244,0.087,4.2,NF
5096204,3978,4.28,0.5347,14.774,0.025,5.1,NF
5096924,3904,4.45,0.5056,27.258,0.121,9.4,NF
5108451,3650,4.50,0.4088,45.158,12.091,4.79,NF
5108769,3730,4.54,0.4387,31.294,1.697,5.0,NF
5110832,3660,4.27,0.4125,25.052,0.712,7.8,NF
5112157,3965,4.55,0.5296,26.666,0.106,12.9,NF
5123682,3865,4.67,0.4904,21.782,0.099,4.2,NF
5124372,3944,4.54,0.5213,36.403,0.131,13.7,NF
5124735,3897,4.47,0.5029,17.624,0.126,6.2,NF
5164701,3832,4.46,0.4777,30.140,0.236,9.9,NF
5165872,3829,4.43,0.4765,17.604,0.046,13.0,NF
5177193,3937,4.48,0.5186,27.218,0.061,16.1,NF
5182822,3955,4.36,0.5256,15.489,0.064,10.1,NF
5184740,3863,4.62,0.4897,44.688,16.129,9.9,NF
5193112,3730,4.33,0.4387,21.271,0.062,8.6,NF
5196068,3982,4.41,0.5363,20.720,0.953,1.3,NF
5200198,3582,4.44,0.3838,53.311,27.901,9.5,NF
5200500,3914,4.60,0.5095,19.351,0.049,10.3,NF
5201711,3848,4.56,0.4839,37.516,14.690,2.9,NF
5202421,3982,4.50,0.5363,23.397,0.136,6.7,NF
5206997,0,-inf,0.0000,24.929,0.095,5.7,NF
5207289,3736,4.67,0.4410,18.707,0.029,14.7,NF
5210507,3921,4.40,0.5123,8.827,4.309,34.8,NF
5211564,3719,4.49,0.4346,32.357,0.534,13.6,NF
5254309,3966,4.43,0.5300,15.009,0.030,12.8,NF
5266549,3855,4.57,0.4866,15.223,0.021,10.1,NF
5268680,3660,4.47,0.4125,39.989,19.291,10.5,NF
5268904,3661,4.27,0.4129,4.373,0.000,9.5,NF
5284217,3921,4.51,0.5123,21.047,0.062,3.5,NF
5285707,3676,4.38,0.4184,21.813,0.020,18.6,NF
5286398,3940,4.46,0.5197,29.711,0.131,17.0,NF
5288534,3956,4.39,0.5260,3.862,0.000,87.8,PB
5300023,3839,4.54,0.4804,36.086,0.149,6.6,NF
5341795,3818,4.59,0.4723,18.625,0.040,6.9,NF
5342009,3846,4.69,0.4831,26.176,0.121,4.2,NF
5344559,3662,4.35,0.4132,34.124,0.831,10.5,NF
5351320,3595,4.12,0.3885,1.819,0.010,9.7,PB
5353137,3616,4.63,0.3962,19.310,0.025,9.4,NF
5353938,3961,4.62,0.5280,31.355,0.525,3.1,NF
5357504,3959,4.46,0.5272,20.740,0.394,1.8,NF
5359490,3958,4.52,0.5268,30.099,0.122,4.3,NF
5360976,3918,4.45,0.5111,15.427,0.021,4.6,NF
5364071,3974,4.53,0.5331,18.595,0.709,5.8,PL
5377130,3963,4.54,0.5288,18.584,0.137,5.3,NF
5384713,3690,4.33,0.4237,20.393,0.012,16.1,NF
5386327,3843,4.66,0.4819,19.065,0.408,7.5,NF
5397064,3815,4.60,0.4711,42.686,12.568,7.5,NF
5397422,3967,4.38,0.5304,9.308,0.045,17.4,NF
5427241,3932,4.65,0.5166,18.983,0.062,13.0,NF
5428088,3821,4.28,0.4734,11.627,0.182,26.9,NF
5428199,3802,4.49,0.4661,21.884,0.106,2.5,NF
5429117,3947,4.67,0.5225,1.676,0.872,4.82,PB
5435923,3649,4.34,0.4084,29.629,0.656,10.8,NF
5437354,3875,4.57,0.4943,16.531,0.257,4.4,NF
5437459,3965,4.40,0.5296,13.251,0.020,23.4,NF
5445367,3736,4.39,0.4410,20.597,0.037,7.2,NF
5459288,3962,4.52,0.5284,32.888,0.726,5.4,NF
5459593,3755,4.48,0.4482,26.237,0.591,5.0,NF
5461756,3861,4.61,0.4889,13.282,0.020,11.0,NF
5471468,3832,4.44,0.4777,18.206,0.126,10.0,NF
5472185,3818,4.45,0.4723,34.094,0.166,12.8,NF
5513769,3813,4.57,0.4704,22.692,0.088,4.1,NF
5515000,3719,4.62,0.4346,20.331,0.049,7.3,NF
5516027,3852,4.47,0.4854,15.550,0.011,11.3,NF
5516671,3818,4.40,0.4723,2.544,0.005,60.4,PB
5526021,3901,4.62,0.5045,26.298,0.167,4.9,NF
5527289,3939,4.59,0.5193,32.387,0.796,5.1,NF
5531953,3741,4.57,0.4429,24.204,0.068,9.7,PL
5543652,3932,4.65,0.5166,27.258,0.303,4.2,NF
5562069,3620,4.24,0.3977,47.590,15.666,5.5,NF
5567165,3733,4.38,0.4399,35.442,0.297,4.7,NF
5596422,3852,4.45,0.4854,36.014,0.306,3.9,NF
5597604,3740,4.53,0.4425,34.666,14.485,3.5,NF
5599675,3999,4.46,0.5430,13.180,0.111,13.1,NF
5601258,3845,4.47,0.4827,17.747,0.034,11.5,PL
5602310,3519,4.06,0.3611,49.715,23.845,5.4,NF
5603484,3509,4.05,0.3575,38.129,10.033,10.9,NF
5607395,3975,4.47,0.5335,6.069,0.005,37.4,NF
5608021,3677,4.60,0.4188,37.945,18.311,12.3,NF
5611092,3951,4.54,0.5241,14.436,0.071,3.8,NF
5616280,3870,4.56,0.4924,17.696,0.241,4.3,NF
5620587,3952,4.63,0.5244,23.100,0.061,3.3,NF
5621528,3717,4.57,0.4338,15.979,0.011,21.0,NF
5632313,3927,4.45,0.5146,18.646,0.052,6.0,NF
5636734,3852,4.37,0.4854,41.174,12.619,5.6,NF
5682522,3872,4.47,0.4932,16.633,0.032,5.3,NF
5685704,3957,4.51,0.5264,0.511,0.000,126.7,PB
5693289,3739,4.56,0.4421,27.340,0.076,5.1,NF
5695850,3962,4.54,0.5284,17.226,0.057,5.2,NF
5699934,3988,4.34,0.5386,27.504,0.121,9.2,NF
5709193,3940,4.52,0.5197,13.507,0.177,9.6,NF
5709283,3846,4.37,0.4831,28.607,0.136,9.2,NF
5717765,3656,4.51,0.4110,47.784,22.866,12.4,NF
5738138,3842,4.58,0.4815,41.746,16.995,5.0,NF
5739251,3813,4.65,0.4704,9.287,0.071,23.8,NF
5785926,3852,4.55,0.4854,36.321,0.297,5.8,NF
5791720,3533,4.13,0.3661,0.766,0.005,31.0,PB
5794240,3948,4.54,0.5229,15.816,0.021,26.0,PL
5803144,3900,4.42,0.5041,17.655,0.040,8.8,NF
5812016,3825,4.53,0.4750,40.602,12.100,8.1,NF
5818042,3690,4.51,0.4237,20.842,0.087,8.2,NF
5853070,3602,4.57,0.3911,42.849,24.179,7.6,NF
5855808,3731,4.50,0.4391,16.378,7.718,4.5,NF
5855851,3504,4.01,0.3558,33.787,0.061,10.3,NF
5856480,3740,4.37,0.4425,33.777,0.149,13.0,NF
5858361,3636,4.29,0.4036,22.589,0.481,12.7,NF
5859365,3808,4.63,0.4684,9.512,0.015,15.2,NF
5867742,3690,4.51,0.4237,33.378,0.866,6.2,NF
5869314,3943,4.54,0.5209,16.490,0.043,5.4,NF
5873644,3794,4.58,0.4631,17.083,0.132,5.2,NF
5879323,3742,4.48,0.4433,20.311,0.643,3.3,NF
5880374,3934,4.46,0.5174,17.481,0.132,3.7,NF
5887519,3972,4.55,0.5323,35.064,0.332,9.4,NF
5894341,3596,4.30,0.3889,29.179,0.106,14.4,NF
5895919,3813,4.69,0.4704,18.901,0.062,2.9,NF
5900600,3950,4.56,0.5237,14.017,0.025,5.7,NF
5904275,3608,4.36,0.3933,28.975,0.577,10.8,NF
5905382,3751,4.47,0.4467,32.612,0.219,9.1,NF
5937213,3811,4.42,0.4696,20.720,0.025,6.5,NF
5937264,3930,4.50,0.5158,15.427,0.101,4.6,NF
5938531,3874,4.65,0.4939,14.835,0.020,13.4,NF
5939661,3838,4.54,0.4800,27.402,12.496,5.1,NF
5941354,3938,4.55,0.5189,35.800,1.443,6.7,NF
5942891,3934,4.54,0.5174,9.706,0.010,42.8,NF
5950024,3921,4.55,0.5123,14.120,0.020,7.3,NF
5950533,3654,4.36,0.4103,21.047,0.173,8.3,NF
5950611,3813,4.38,0.4704,17.083,0.046,8.1,NF
5950779,3675,4.45,0.4181,37.087,17.351,5.8,NF
5954552,3929,4.59,0.5154,14.937,0.015,15.0,NF
5956142,3965,4.50,0.5296,18.441,0.017,4.6,NF
5956957,3964,4.54,0.5292,14.906,0.056,10.8,NF
5962956,3695,4.20,0.4256,1.400,0.005,58.6,PB
5966302,3840,4.47,0.4808,16.122,0.107,4.0,NF
5966921,3831,4.29,0.4773,5.149,0.000,140.8,PB
5977899,3804,4.51,0.4669,33.716,0.857,8.3,NF
5977935,3811,4.60,0.4696,17.553,0.092,7.5,NF
6019923,3743,4.43,0.4436,39.621,18.475,5.6,NF
6020256,3842,4.59,0.4815,20.209,0.148,5.7,NF
6021570,3970,4.53,0.5315,15.918,0.021,9.7,NF
6032373,3963,4.56,0.5288,24.193,0.149,5.8,NF
6032666,3807,4.54,0.4681,31.999,0.096,9.1,NF
6032907,3938,4.50,0.5189,22.027,10.692,7.5,NF
6034587,3689,4.51,0.4233,30.937,14.319,5.2,NF
6036286,3632,4.35,0.4021,52.484,25.351,13.9,NF
6038882,3971,4.39,0.5319,9.164,0.015,32.5,NF
6044117,3808,4.49,0.4684,17.736,0.034,11.1,NF
6049470,0,-inf,0.0000,25.399,0.106,6.3,NF
6072268,3920,4.42,0.5119,25.869,0.515,6.8,NF
6099785,3678,4.33,0.4192,40.867,19.820,9.4,NF
6102338,3624,4.19,0.3992,5.262,0.045,21.0,NF
6104287,3949,4.45,0.5233,15.795,0.043,9.8,NF
6105433,3874,4.50,0.4939,18.094,0.103,4.6,NF
6106282,3912,4.41,0.5088,17.542,0.040,7.6,NF
6117713,3979,4.42,0.5351,38.742,11.370,4.2,NF
6117832,3961,4.53,0.5280,0.613,0.000,75.1,PB
6119211,3863,4.56,0.4897,26.584,0.197,5.8,NF
6125019,3827,4.57,0.4758,31.458,0.385,4.3,NF
6129451,3728,4.20,0.4380,3.290,0.000,87.0,PB
6145790,3834,4.54,0.4784,34.809,0.236,7.1,NF
6147224,3903,4.57,0.5052,15.468,0.086,8.2,NF
6151139,3851,4.39,0.4850,16.776,0.080,8.6,NF
6181526,3631,4.16,0.4018,48.397,13.965,4.8,NF
6183511,3566,4.18,0.3780,28.995,0.833,5.4,PL
6183859,3669,4.50,0.4158,29.997,0.212,32.2,NF
6183971,3935,4.50,0.5178,26.216,0.242,8.6,NF
6184059,3865,4.57,0.4904,15.693,0.075,5.9,NF
6185976,3874,4.54,0.4939,35.606,1.260,3.2,NF
6187942,3691,4.29,0.4241,39.417,11.374,13.2,NF
6192309,3658,4.65,0.4117,21.598,0.068,15.0,NF
6212599,3719,4.60,0.4346,29.608,0.030,6.5,NF
